epoch,auc,score,date
0,0.9092,,20200216
18,0.953,,20200221
19,0.9512,,20200221
20,0.9648,0.92638,20200221
21,0.968,,20200223
22,0.9601,,20200223
23,0.9627,,20200223
24,0.9647,,20200223
25,0.9664,,20200223
26,0.9682,,20200223
27,0.9695,,20200223
28,0.9711,,20200223
29,0.972,,20200223
30,0.9733,,20200223
31,0.9742,,20200223
32,0.975,0.95237,20200223
33,0.9742,,20200224
34,0.9721,,20200224
35,0.9725,,20200224
36,0.964,,20200224
37,0.9661,,20200224
38,0.9676,,20200224
39,0.9681,,20200224
40,0.9683,,20200224
41,0.9699,,20200224
42,0.9713,,20200224
43,0.9723,,20200224
44,0.9734,,20200224
45,0.9744,,20200224
46,0.9753,,20200224
47,0.9761,,20200224
48,0.9768,,20200224
49,0.9774,,20200224
50,0.9779,,20200224
51,0.9784,,20200224
52,0.9788,,20200224
53,0.9792,0.96509,20200224
54,0.9763,,20200224
55,0.9748,,20200224
56,0.9089,,20200224
57,0.9297,,20200224
58,0.9403,,20200224
59,0.9479,,20200224
60,0.9533,,20200224
61,0.9575,,20200224
62,0.9609,,20200224
63,0.9636,,20200224
64,0.9659,,20200224
65,0.9677,,20200224
66,0.9693,,20200224
67,0.9801,,20200224
68,0.9794,,20200224
69,0.9789,,20200224
70,0.9793,,20200224
75,0.9809,0.96857,20200224
76,0.9797,,20200224
77,0.9619,,20200225
78,0.9698,,20200225
79,0.9713,,20200225
80,0.973,,20200225
81,0.9754,,20200225
82,0.9769,,20200225
83,0.9783,,20200225
84,0.9793,,20200225
85,0.9801,,20200225
86,0.9811,,20200225
87,0.977,,20200225
88,0.9789,,20200225
89,0.9757,,20200225
90,0.9761,,20200225
91,0.9696,,20200225
92,0.971,,20200225
93,0.9725,,20200225
94,0.9738,,20200225
95,0.9752,,20200225
96,0.9763,,20200225
97,0.9772,,20200225
98,0.9781,,20200225
99,0.9789,,20200225
100,0.9796,,20200225
101,0.9802,,20200225
102,0.9807,,20200225
103,0.9812,,20200225
104,0.9816,,20200225
105,0.982,,20200225
106,0.9824,,20200225
107,0.9827,,20200225
108,0.983,,20200225
109,0.9832,0.97156,20200225
