epoch,acc,score,date
1,0.9162,,20200202
2,0.9105,,20200202
3,0.9142,,20200202
4,0.9073,,20200202
5,0.6828,,20200202
6,0.9213,,20200202
7,0.933,,20200202
8,0.7135,,20200202
9,0.7732,,20200202
10,0.8857,,20200202
11,0.9082,,20200202
12,0.672,,20200202
13,0.8252,,20200202
14,0.8995,,20200202
15,0.9077,,20200202
16,0.796,,20200202
17,0.7845,0.79558,20200202
