epoch,auc
15,0.9703
5,0.9525
16,0.9711
1,0.9494
2,0.9475
20,0.9736
0,0.9367
6,0.9557
17,0.9718
12,0.967
7,0.9578
10,0.9639
8,0.9598
11,0.9656
9,0.9619
18,0.9725
4,0.9486
14,0.9693
3,0.9484
13,0.9682
19,0.9731
